id;titulo;endereco;taxa;Area;quartos;suites;banheiros;vagas;preco;;;;;
55988198;Lote/Terreno    à Venda/Aluguel 450m²;Raimundo Chaves, 3815 - Candelária, Natal - RN;;450;--;--;--;--;R$ 750.000;;;;;
56025423;Casa de condomínio com 2 Quartos à Venda, 61m²;Planalto, Natal - RN;;61;2;--;1;1;R$ 169.900;;;;;
56028577;Casa com 3 Quartos à Venda, 274m²;Capim Macio, Natal - RN;;274;3;2;1;4;R$ 450.000;;;;;
56031120;Casa com 4 Quartos à Venda, 790m²;Cidade Jardim, Natal - RN;;790;4;4;2;8;R$ 1.800.000;;;;;
56031122;Lote/Terreno    à Venda,Candelária, Natal - RN;;--;--;--;--;--;R$ 360.000;;;;;;
56058568;Casa com 3 Quartos à Venda, 112m²;Planalto, Natal - RN;;112;3;1;2;2;R$ 220.000;;;;;
56095773;Casa com 3 Quartos à Venda, 393m²;PARNAMIRIM, Natal - RN;;393;3;2;1;5;R$ 450.000;;;;;
56095774;Casa com 3 Quartos à Venda, 300m²;Pitimbu, Natal - RN;;300;3;1;2;2;R$ 520.000;;;;;
56116596;Casa com 3 Quartos à Venda, 69m²;Ponta Negra, Natal - RN;;69;3,--;2;2;R$ 450.000;;;;;;
56128604;Apartamento com 3 Quartos à Venda, 99m²;Capim Macio, Natal - RN;R$ 770;99;3;2;1;2;R$ 450.000;;;;;
56132087;Apartamento com 3 Quartos à Venda, 84m²;Rua Joaquim Eduardo de Farias, 211 - Neópolis, Natal - RN;;84;3;1;2;2;R$ 320.000;;;;;
56294247;Casa com 3 Quartos à Venda, 209m²;Rua Poeta José Bezerra Gomes - Ponta Negra, Natal - RN;;209;3;1;3;3;R$ 550.000;;;;;
56391075;Apartamento com 5 Quartos à Venda, 253m²;Rua Ataulfo Alves - Candelária, Natal - RN;R$ 1.350;253;5;4;5;3;R$ 1.080.000;;;;;
56439561;Casa com 4 Quartos à Venda, 270m²;Capim Macio, Natal - RN;;270;4;1;3;4;R$ 480.000;;;;;
56461659;Apartamento com 2 Quartos à Venda, 58m²;Capim Macio, Natal - RN;R$ 285;58;2;1;1;1;R$ 169.000;;;;;
56465824;Casa com 5 Quartos à Venda, 390m²;Capim Macio, Natal - RN;;390;5;3;5;4;R$ 900.000;;;;;
56644109;Apartamento com 2 Quartos à Venda, 53m²;Planalto, Natal - RN;;53;2;1;2;1;R$ 125.000;;;;;
56644316;Apartamento com 4 Quartos à Venda, 221m²;Candelária, Natal - RN;R$ 1.380;221;4;4;5;4;R$ 950.000;;;;;
56687914;Casa com 6 Quartos à Venda, 260m²;Ponta Negra, Natal - RN;;260;6;6,7;3;R$ 950.000;;;;;;
56907769;Apartamento com 3 Quartos à Venda, 170m²;Rua Ilíria Tavares Galvão, 50 - Tirol, Natal - RN;R$ 900;170;3;3;4;2;R$ 420.000;;;;;
56916935;Apartamento com 4 Quartos à Venda, 282m²;Rua Major Afonso Magalhães - Areia Preta, Natal - RN;;282;4;4;5;4;R$ 1.800.000;;;;;
56917025;Apartamento com 4 Quartos à Venda, 170m²;Rua dos Tororós - Lagoa Nova, Natal - RN;;170;4;4;5;4;R$ 1.100.000;;;;;
56924096;Lote/Terreno    à Venda, 450m²;Rua Raimundo Chaves - Candelária, Natal - RN;R$ 450;450;--;--;--;--;R$ 900.000;;;;;
